Date,NGD,LDZ,GTP,IND,HDD,HDD-1,Rus,Workday,War,FR nuclear,DE wind,DE solar,THE price,DE IND index,EU storage,EU LNG,UK NL production,Norway sendout,African TAP
2017-03-22,26.41127091497367,11.420623192251245,3.969878690981681,11.020768921770696,2.423584211736159,-0.5167666192228211,-5.738099879656653,0.25850910619722345,-0.0035287856018319736,497.2343404119572,-2071.15880617277,-973.2199009003393,-0.05163101593435508,-0.06996171942175504,-0.3950270445708673,216.23914372227006,6.3343817859405975,,3.349901165240209
2017-03-23,27.314413158611135,12.923236901153915,3.2413514015108817,11.149824858498189,1.0307747163142578,2.4239568902802207,-2.9387442927271623,0.2731076463432089,-0.003285476599398883,-279.58865228876823,-3901.5441833017258,-867.3239623890133,0.3027941665473999,-0.03687513396067206,-0.46889444116454526,369.8596060093745,-15.765540143883953,,2.5614573696197844
2017-03-24,23.616325733355687,14.17665751040943,2.2517598081009043,7.18790842933761,1.6932680645889564,1.0311473948583196,-5.242593068290393,0.2678765027908975,-0.003042167596965793,473.2198635263158,-3970.875691817543,22.8234809766823,-0.6736596047421374,-0.0183796619594485,-0.5456243681718402,333.7562483451413,-7.707055056164657,,1.6357570411526083
2017-03-25,-10.095061135950866,11.104070772723306,-5.512164260672818,-15.686967660517642,1.4793288900440655,1.693640743133018,-12.710304703675952,-0.6987901638757692,-0.002798858594532703,402.78932824649473,-1449.3758134720438,1893.5495813003079,-0.7299004806545475,-0.0030881495653154283,-0.4974990640355895,4.0906279071846665,-17.238734880726067,,3.4146923087925414
2017-03-26,2.0139629185490158,16.400425059399694,-3.929790579408827,-10.456671540782846,2.0613545103125546,1.4797015685881274,-5.4012061313852,-0.6768923536567912,-0.002555549592099613,-47.8374357437592,-6950.489864566934,2014.4194356692403,-1.0726377069319182,-0.020780433774528338,-0.49984577936405644,-37.94647671568621,-22.694154003533093,,1.9078134036830332
2017-03-27,24.105759373100195,12.665214137155127,3.7919398477833868,7.648605356861966,0.9302515437520924,2.061727188856616,-3.9899863720969657,0.2970735830828682,-0.0023122405896665228,769.1303258134215,-7483.7324801387085,2793.838610426521,-1.4297088748151328,-0.02932400373805476,-0.6530988207265875,93.83595637433804,-24.739914705287497,,3.397904851371587
2017-03-28,-3.2852662753523614,-5.610478462315661,2.003159131890444,0.3220530187464068,-1.6218523091148191,0.930624222296154,-8.593436747103054,0.2440322205524546,-0.002068931587233433,298.36937690829694,-2002.4736966837202,2531.878804601278,-1.6907885585134288,-0.03233307114071676,-0.716367677174269,31.439776325676206,-30.985032950901537,,3.422204559400794
2017-03-29,-16.96902022673921,-16.958361178657498,-0.6238314012725754,0.6131723043047655,-2.1201920622272246,-1.6214796305707575,-14.079785497436394,0.2442755295548877,-0.001825622584800343,463.068403672293,-5919.204986221437,-408.578574039499,-0.8516188504842337,-0.04910591812733754,-0.7553847088044453,-99.40333802955463,-0.386365757919093,,4.416929255264546
2017-03-30,-31.515008673624845,-29.612775166788893,2.212791825689715,-4.115025314353382,-4.378302462717736,-2.119819383683163,-11.820200677725918,0.29026093101474176,-0.001582313582367253,999.921809998337,378.1995028296594,781.6241767695617,-0.4418560767616029,-0.029643247583556544,-0.754092738001525,-209.97398279841104,10.146023540326558,,5.550202661590563
2017-03-31,-47.97269710729881,-37.518280697083284,1.0006780200437269,-11.455094433838786,-6.387720689314573,-4.377929784173674,-8.34648971129647,0.3162949942750824,-0.001339004579934163,-596.1395038702854,-3012.044986221434,1872.25145832296,-0.48428916678593625,-0.01091725386942682,-0.8005659740112556,-331.38174435558864,7.507793891203745,,5.3882510070893375
2017-04-01,-63.987923585109044,-38.525903178865526,-4.645688555576713,-20.816331867597917,-3.917634415489149,-6.387348010770512,-14.795029132053127,-0.657670942464577,-0.001095695577501073,-2745.014808006537,-7757.397042182508,968.2352932744178,-0.33893636873240884,0.8463892991901977,-0.5172727866633287,-134.28381248210974,20.85264634734408,,-3.5894338955870513
